state_code_s!,state_name_s,cs_jobs_i,growth_vs_average_f,cs_graduates_i,count_schools_teach_cs_i,job_student_gap_i,state_plan_s,cs_standards_s,pd_funding_s,cs_teacher_cert_s,pre_service_s,state_position_s,require_hs_s,require_k12_s,cs_counts_t,higher_ed_entrance_s,grad_requirement_s,text_t,petition_url_t,action_url_s,action_text_s,avg_sal_computing_i,sal_x_jobs_bi,avg_sal_all_i,preservice_prepared_i,percent_female_cs_grad_i,percent_cs_exams_f,ap_cs_exams_i,percent_ap_female_i,ap_hispanic_i,ap_black_i,ap_native_american_i,ap_hawaiian_i,total_ap_students_color_i,schools_ap_cs_i,percent_schools_ap_cs_i,number_additional_schools_i,ap_csa_exams_i,percent_ap_csa_female_i,ap_csa_hispanic_i,ap_csa_black_i,ap_csa_native_american_i,ap_csa_hawaiian_i,percent_schools_ap_csa_i,ap_csp_exams_i,percent_ap_csp_female_i,ap_csp_hispanic_i,ap_csp_black_i,ap_csp_native_american_i,ap_csp_hawaiian_i,percent_schools_ap_csp_i,principals_core_i,principals_barrier_s,website_url_s,school_district_partners_t,professional_learning_partners_t,other_partners_t,num_affiliates_i,num_elementary_trained_i,num_ecs_csd_i,num_csp_i,num_ms_trained_i,num_hs_trained_i,es_using_codeorg_i,ms_using_codeorg_i,hs_using_codeorg_i,female_codeorg_i,black_codeorg_i,hispanic_codeorg_i,native_american_codeorg_i,hawaiian_codeorg_i,white_codeorg_i,asian_codeorg_i,two_codeorg_i,urm_codeorg_i,rural_codeorg_i,highneed_codeorg_i,num_hoc_i,ap_calc_i,ap_bio_i,ap_phy_i,ap_stats_i,ap_chem_i,ap_env_sci_i,ap_cs_i,student_studio_acct_i,teacher_studio_acct_i,policy_0_t,policy_1_t,policy_2_t,policy_3_t,policy_4_t,policy_5_t,policy_6_t,policy_7_t,policy_8_t,policy_9_t,pd_funding_exception_s,require_hs_exception_s,cs_standards_exception_s,ecep_name_s,ecep_email_s,ecep_name_2_s,ecep_email_2_s,ecep_url_s,code_name_s,code_email_s,state_plan_t,standards_t,funding_t,certification_t,preservice_t,state_cs_t,hs_t,count_t,higher_ed_t,grad_requirement_t
AK,Alaska,1529,3.2,52,51,-1477,Other,Yes,No,No,No,Yes,No,No,Other,No,No,,,,NA,87308,133494210,48110,0,21%,1.07%,108,15%,8,0,1,0,9,20,30%,9,43,9%,2,0,0,0,12%,65,18%,6,0,1,0,24%,0,No,www.code.org/promote/AK,no school districts in the state,Alaska Staff Development Network,none,8,858,92,37,0,0,34,29 ,25 ,47,4,8,23,3,31,6,6,57,60,42,147000,789,264,288,273,308,104,60,116357,4391,,,,,,,,"Alaska has passed policy that is permissive and encouraging for schools to allow computer science to count for a core graduation requirement, but it is not a requirement for schools. Find out how Alaska allows computer science to count towards graduation at http://bit.ly/9policies.",,,,,,NA,NA,NA,NA,NA,Maggie Glennon,maggie@code.org,"The Alaska Department of Education and Early Development is in the process of developing a state plan and was open for public comment until May 1, 2023. ",Alaska adopted K-12 computer science standards in 2019.,,,,The Alaska Department of Education & Early Development has a Statewide Coding and Computer Science Coordinator.,,"Alaska passed a permissive and encouraging policy to allow computer science to count as a mathematics, science, or local CTE/technology credit for graduation, but it is a district decision.",,
AL,Alabama,9207,2.8,893,85,-8314,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,NA,86870,799815565,63480,0,21%,0.59%,2196,37%,162,328,25,1,516,145,44%,21,310,18%,20,17,1,0,10%,1886,40%,142,311,24,1,43%,69%,Other,www.code.org/promote/AL,no school districts in the state,A+ College Ready,none,12,4097,529,343,0,31,29,34 ,29 ,45,23,7,1,0,56,2,3,39,42,54,779000,4065,4556,2144,1890,3189,1335,303,777311,18789,,,,,,,,,,,,,,Jeff Gray,gray@cs.ua.edu,NA,NA,NA,Amber Mariano Davis,amber@code.org,"The Alabama Governor's Computer Science Advisory Council made a series of policy recommendations in 2019, including goals and strategies in 2019 and created a corresponding timeline in 2021. The council was charged with building equity in computer science education for groups underrepresented in computing. The plan includes specific strategies to advance educational equity in computer science. ","Alabama adopted K–12 computer science and digital literacy standards in 2018. The “Equitable Access” Position Statement in the standards document includes examples of ways to broaden participation in computer science education, and the standards address concepts of equity, such as bias, accessible technology, and inclusivity.","SB 88 (FY 2024) appropriated $9.271M for CS education: $6M for CS4AL, $2.375M for the Technology in Motion Program, and $300K for CS educator training, $613K for the Middle School Programming Initiative. FY 2023: HB 135 appropriated $6.271M for CS education: $3M for CS4AL, $2.375M for the Technology in Motion Program, and $300K for CS educator training, $613K for the Middle School Programming Initiative. FY 2022: SB 189 appropriated $3.771M: $2M for CS4AL, $613K for Middle School Programming Initiative, $857K for Technology in Motion, and $300K for CS Educator Training. FY 2021: HB 187 appropriated $3.771M: $2M for CS4AL, $613K for Middle School Programming Initiative, $857K for Technology in Motion, and $300K for CS Educator Training. FY 2020: SB 199  appropriated $2.771M for CS education: $613K for the Middle School Programming Initiative, $300K for CS educator training, $1M for CS4AL, and $857K for the Technology in Motion Program to train K–12 teachers in computer science.  FY 2019: HB 175 appropriated $1.771M for CS education: $613K for the Middle School Programming Initiative, $857K for the Technology in Motion Program and an additional $300K was allocated for professional development.  FY 2018: SB 129 allocated $675K for the Middle School Programming Initiative.","In Alabama, teachers with existing licensure can add 6–12 computer science as an additional teaching field by passing the Praxis CS exam. Teachers can also obtain a course-specific permit by completing an approved training or college credit for the specific course. State funding for computer science can support credentialing for teachers. ","In September 2019, the Alabama State Board of Education passed Teacher Educator Standards for Computer Science, which are used to approve programs at institutions of higher education. ",The Alabama State Department of Education has an Education Specialist and an Educator Administrator for Digital Literacy and Computer Science.,"Act 389 (2019) required all high schools, middle schools, and elementary schools to offer computer science by the 2020–2021 school year. The act required the State Department of Education to report the aggregate gender, racial, and socioeconomic diversity of students enrolled in high-quality computer science courses.","In Alabama, courses including AP Computer Science A or AP Computer Science Principles can count as a mathematics or science credit for graduation.","Computer science can count as a mathematics or science credit required for admission, as determined by each public institution of higher education in Alabama.",
AR,Arkansas,4636,3.8,500,92,-4136,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,NA,72662,336859015,55170,5,16%,0.64%,1339,33%,143,118,18,1,280,67,23%,4,404,20%,50,15,1,0,14%,935,39%,93,103,17,1,16%,73%,No,www.code.org/promote/AR,no school districts in the state,Arkansas Computer Science and Computing Initiative,none,2,2323,4,3,0,1,28,35 ,24 ,47,19,9,1,1,55,2,4,39,55,72,419000,2991,2884,1818,1859,1722,1025,304,579878,10171,,,,,,,,,,,,,,Kelly Griffin,Kelly.Griffin@ade.arkansas.gov,NA,NA,http://www.arkansased.gov/divisions/special-projects/arkansas-computer-science-initiative,Anthony Owen,anthony.owen@code.org,"The Arkansas Department of Education developed and regularly updates a state plan for computer science education on recommendations from the Computer Science and Technology in Public School Task Force in 2016. In October 2020, the Computer Science and Cybersecurity Task Force released a new set of recommendations. ",Arkansas adopted revised K–12 computer science standards including multiple high school pathways in 2020. All students learn the K–8 standards and take a coding block in 7th or 8th grade.,"Act 572 (FY 2024), Act 217 (FY 2023), and Act 1006 (FY 2022) allocated $3.5M for the Computer Science Initiative; Act 154 (FY 2021), Act 877 (FY 2020), Act 243 (FY 2019), Act 1044 (FY 2018), and Act 189 (FY 2016 and 2017) allocated $2.5M annually for the initiative. One grant program for schools prioritizes programs that broaden participation in computer science courses.","In Arkansas, teachers with existing licensure can add a 4–12 endorsement by passing the Praxis CS exam; teachers can also earn an initial license in computer science. Any teacher with a grade-appropriate license can obtain an approval code by completing one of the following: approved professional development, prior computer science teaching, coursework in computer science, or other department requirements. State funding for computer science can support credentialing for teachers. Beginning with the 2023–2024 school year, each public school district must employ at least one computer science certified teacher at each high school (Act 414, 2021).","Arkansas has approved secondary computer science preparation programs at several institutions of higher education and lists these institutions publicly. The state also requires all preservice elementary teachers to receive instruction in computer science education, and each preservice program will incorporate computer science as their educator competencies come up for revision. ForwARd Arkansas scholarships are available for students studying to become licensed computer science instructors and commit to teaching in a ForwARd Community school district.","The Arkansas Department of Education has an office of computer science with four staff members focusing on computer science, including the State Director of Computer Science Education, Lead Statewide Computer Science Specialist, Computer Science Program Policy Advisor, and a Computer Science Program Coordinator. There are also nine statewide computer science specialists. In 2021, the department created a new position, the Director of STEM and Computer Science Continuum, to focus on postsecondary, including college and careers.  ","Act 187 (2015) required all high schools to offer computer science by the 2015–2016 school year. Each school reports computer science enrollment by grade and race. The Middle School Introduction to Coding standards are required to be taught to all students in at least one of grades 5, 6, 7, or 8. ","In Arkansas, all students must take one credit of computer science (Act 414, 2021) or computer science-related career and technical education course to graduate (Act 654, 2023). Any computer science course can count as a mathematics, science, or career focus credit for high school graduation.","Any computer science course can count as a mathematics or science credit required for admission at institutions of higher education, which aligns with Arkansas's high school graduation policy.","In Arkansas, all students must take one credit of computer science (Act 414, 2021) or computer science-related career and technical education course to graduate (Act 654, 2023). The credit may be earned in grades 8-12 and the ADE must approve at least 4 courses that can be taken in the 8th grade for HS credit). "
AZ,Arizona,9878,1.5,1226,36,-8652,No,Yes,Yes,Yes,No,Yes,No,No,Other,No,No,,,,NA,87658,865883801,46500,1,20%,0.65%,1788,27%,391,52,16,2,461,104,37%,14,659,29%,106,12,3,0,22%,1129,26%,285,40,13,2,28%,63%,Other,www.code.org/promote/AZ,Paradise Valley Unified School District and Phoenix Union High School District,Arizona Science Center,none,5,3408,204,105,10,39,27,28 ,13 ,43,9,28,3,1,33,5,6,56,14,52,993000,6745,3239,4012,2082,2222,973,438,1017131,21467,,,,,,,,"Arizona has passed policy that is permissive and encouraging for schools to allow computer science to count for a core graduation requirement, but it is not a requirement for schools.",,,,,,NA,NA,NA,NA,NA,Codeye Woody,codeye@code.org,,"Arizona adopted K–12 computer science standards with a focus on equity in 2018. The state intends to close the access gap for underserved populations including students with disabilities, women, and students in underrepresented racial and ethnic groups. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","SB 1720 (FY 2024), HB 2862 (FY 2023), SB 1823 (FY 2022), SB 1692 (FY 2021), HB 2302 (FY 2020), and HB 2663 (FY 2019) included $1M annually for the computer science professional development program, prioritizing schools that currently do not provide computer science instruction. The program requires a 50% match of state funding with private monies or in-kind donations. In addition, HB 2303 (FY 2019) prioritized rural schools and schools with at least 60% of the students eligible for free and reduced-price lunches. HB 2537 (FY 2018) allocated $200K to support standards and professional development. SB 1568 (FY 2017) allocated $500K, with a focus on Native American students.","In Arizona, teachers with existing licensure can obtain the PreK–8 or 6–12 endorsement by completing a district-approved program or academic coursework in computer science content and teaching methods. The PreK–12 special subject endorsement requires completing academic coursework in computer science content and methods. ",,The Arizona Department of Education has a Computer Science and Educational Technology Specialist.,,"Arizona passed a permissive and encouraging policy to allow computer science to count as a mathematics credit for graduation, but it is a district decision.",,
CA,California,48904,1.6,9339,40,-39565,Yes,Yes,Yes,Yes,No,Yes,No,No,Other,Yes,No,,,,NA,115754,5660811859,68510,3,21%,1.38%,32235,32%,7400,619,110,70,8199,848,40%,62,11989,27%,1666,149,22,16,24%,20246,35%,5734,470,88,54,31%,70%,Other,www.code.org/promote/CA,"Alliance College Ready Public Schools, Anaheim Union High School District, Benicia Unified School District, Brentwood Union School District, Cajon Valley School District, Calistoga Joint Unified School District, Central Unified School District, Corona-Norco Unified School District, Covina Valley Unified School District, Fairfield-Suisun Unified School District, Fontana Unified School District, Granada Hills Charter High School, John Swett Unified School District, Jurupa Unified School District, Liberty Union High School District, Los Angeles Unified School District, Martinez Unified School District, Moraga Elementary School District, Mt. Diablo Unified School District, Oakland Unified Public Schools, Orange Unified School District, Perris Union High School District, Pittsburg Unified School District, Placentia-Yorba Linda Union School District, Riverside Unified School District, Saddleback Valley Unified School District, San Jacinto Unified School District, Temecula Valley Unified School District, Val Verde Unified School District, and Whittier Union High School District","Contra Costa County Office of Education, Fresno County Superintendent of Schools, Los Angeles Unified School District, Riverside County Office of Education, Sacramento County Office of Education, Silicon Valley Education Foundation, University of California San Diego CREATE, and USC Viterbi School of Engineering",none,59,11379,1047,711,121,247,24,22 ,16 ,42,7,34,0,1,20,16,7,57,7,59,11345000,74006,38045,32699,32145,21572,26444,10244,4827629,123689,,,,,,,,"California has passed policy that is permissive and encouraging for schools to allow computer science to count for a core graduation requirement, but it is not a requirement for schools.",,,,,,Julie Flapan,flapan@gseis.ucla.edu,Debra Richardson,djr@ics.uci.edu,http://access-ca.org/,Codeye Woody,codeye@code.org,"The California State Board of Education adopted the Computer Science Strategic Implementation Plan in 2019. The plan includes practices and recommendations for equitable outcomes, such as providing culturally responsive training materials to support educators.","California adopted K–12 computer science standards in 2018. The introduction includes ""Issues of Equity,"" describing equity, access, and representation. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity. The California NGSS Curriculum Framework also includes major sections on computational thinking and computer science for educators.","AB 181 (FY 2023) allocated $15M for competitive grants for professional learning to K-12 teachers to provide high-quality instruction in computer science. AB 128 (FY 2022) allocated $5M to establish the Educator Workforce Investment Grant to provide professional development in computer science for K-12 teachers and AB 130 (FY 2022) allocated an additional $15M for the Computer Science Supplementary Authorization Incentive Grant Program. SB 75 (FY 2019) appropriated $22.1M to the Educator Workforce Investment Grant Program, including $5M to support professional learning for computer science teachers, though the state reallocated this funding for COVID-19 relief in April 2020.","In California, teachers with existing licensure can obtain a supplementary authorization for PreK–12 through academic coursework. The state provided dedicated funding in FY 2022 to offset the cost of computer science certification.",,The California Department of Education has a Computer Science Coordinator. ,,"California passed a permissive and encouraging policy to allow computer science to count as a science or mathematics credit for graduation, but it is a district decision.","Approved computer science courses can count as the recommended third-year science course (area D) or as a mathematics credit (area C) required under the University of California system admissions criteria, which aligns with the high school graduation policy.",
CO,Colorado,14347,1.6,1598,57,-12749,No,No,Yes,No,No,Yes,No,No,Other,Yes,No,,,,NA,101518,1456476413,62900,1,19%,0.97%,2697,27%,390,63,8,2,463,154,45%,14,922,21%,74,14,2,1,24%,1775,29%,316,49,6,1,37%,61%,Yes,www.code.org/promote/CO,Denver Public Schools and Douglas County Schools,mindSpark Learning,none,20,1745,247,135,0,15,29,29 ,25 ,45,8,22,1,1,46,4,5,44,19,38,1881000,8517,4015,4766,3778,2818,2490,780,802124,13502,,,,,,,,"Colorado has passed policy that is permissive and encouraging for schools to allow computer science to count for a core graduation requirement, but it is not a requirement for schools.",,,,,"9-12 CS standards exist, but no K-8 standards",NA,NA,NA,NA,NA,Anthony Owen,anthony.owen@code.org,,"Although Colorado does not yet have a discrete set of rigorous computer science standards across K–12, the state adopted high school computer science standards in 2018. ","SB 23-115 (FY 2023), HB 22-1329, SB 21-205 (FY 2022), HB 20-1360 (FY 2021), and SB 19-207 (FY 2020) appropriated $805,681, $801,681, $801,658, $801,675, and $1,048,600 for Computer Science Education Grants for Teachers, which give priority to applications serving rural areas, areas with high numbers of students eligible for free and reduced-price meals, or areas with high numbers of students from underrepresented racial and ethnic groups. HB 18-1322 (FY 2019) allocated $500K for K–5 teacher professional development. SB 17-296 (FY 2018 and 2019) allocated up to $500K annually for teachers pursuing postsecondary computer science education. HB 16-1289 (FY 2017) offered schools $1K for each student enrolled in AP computer science. Due to COVID-19 related budget cuts, the state reduced funding for FY 2021 from planned allocations ($250K annually for FY 2021, 2022, and 2023 in HB 19-1277).",,,The Colorado Department of Education has a Computer Science Content Specialist.,,"Colorado passed a permissive and encouraging policy to allow computer science to count as either a mathematics or science credit for graduation, but it is a district decision.",A computer science course with a mathematics prerequisite can count as a mathematics credit required for admission at institutions of higher education in Colorado.,
CT,Connecticut,6191,2.4,608,77,-5583,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Other,No,No,,,,NA,100358,621315360,66130,0,24%,1.46%,3445,28%,325,138,10,2,475,139,51%,4,1335,23%,102,41,1,1,31%,2110,31%,223,97,9,1,38%,66%,Yes,www.code.org/promote/CT,no school districts in the state,Sacred Heart University,none,9,1511,73,59,0,2,31,29 ,16 ,47,16,21,0,0,37,5,5,52,11,43,941000,6314,3967,4492,3781,2552,2000,939,523854,9843,,,,,,,,,,,,,,Chinma Uche,cuche@crec.org,Seth R Freeman,sfreeman@ccc.commnet.edu,NA,Maggie Glennon,maggie@code.org,"The Connecticut State Board of Education adopted a computer science plan in 2020. The plan includes recommendations to reduce gaps in access to computer science courses for female students, students with high-need, and students from marginalized racial and ethnic groups underrepresented in computer science. The plan also targets diverse representation in teachers of computer science courses. ","Connecticut adopted the CSTA K–12 Computer Science Standards in 2018. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","Although SB 957 (2019) created a fund for computer science, no funding has been dedicated yet.","In Connecticut, teachers with existing licensure can obtain the K–6 or 7–12 endorsement through academic coursework or passing the Praxis CS exam (approved in December 2019).","SB 957 (2019) required teacher preparation programs to include, as part of the curriculum for all preservice candidates, instruction in computer science that is grade-level and subject-area appropriate.",The Connecticut Department of Education has a Computer Science Education Consultant.,"SB 957 (2019) added computer science to the list of subjects that public schools must teach, with implementation by the 2019–2020 school year.",Connecticut passed a permissive and encouraging policy for local boards of education to allow computer science courses aligned to the state computer science standards to count towards the nine STEM credits required for graduation (beginning with the class of 2023).,,
DC,District of Columbia,8358,2.5,333,45,-8025,No,No,No,Yes,No,No,No,No,Yes,No,No,,,,NA,114152,954078490,59820,1,32%,1.51%,423,41%,49,200,2,0,251,30,55%,11,134,27%,16,30,0,0,40%,289,47%,33,170,2,0,38%,0,No,www.code.org/promote/DC,no school districts in the state,none,none,0,62,6,9,0,0,13,16 ,14 ,49,59,15,0,0,14,2,1,84,0,0,155000,911,567,587,424,378,509,176,96946,2519,,,,,,,,"District of Columbia allows computer science to count for a core graduation requirement. This policy is not written down and publicly accessible, but we are working with them to release public documentation.",,,,,,NA,NA,NA,NA,NA,Pat Yongpradit,pat@code.org,,,,"In DC, teachers with existing licensure can obtain a 7–12 certification by passing the Praxis CS exam. An initial license in computer science requires academic coursework and passing the exam. ",,,,"In DC, an AP computer science course can count as the fourth-year upper-level mathematics credit for graduation.",,
DE,Delaware,1893,2.6,314,40,-1579,No,Yes,No,No,No,No,Yes,No,Yes,No,No,,,,NA,98250,185986678,98370,0,20%,1.38%,551,27%,41,65,1,0,107,18,30%,0,235,30%,12,26,1,0,25%,316,25%,29,39,0,0,18%,0,No,www.code.org/promote/DE,no school districts in the state,none,none,0,83,16,11,0,0,29,23 ,24 ,44,26,11,0,0,41,5,4,50,24,0,225000,1178,812,592,844,521,420,166,178625,3110,,,,,,,,,,,,,,NA,NA,NA,NA,NA,Maggie Glennon,maggie@code.org,,"Delaware adopted the CSTA K–12 Computer Science Standards in 2018. The ""Equity” section in the Implementation Guidelines includes examples of ways to broaden participation in computer science education, and standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.",,,,"Although the Delaware Department of Education does not have a position dedicated to computer science education, the STEM Education Associate oversees computer science education. ",HB 15 (2017) required all high schools to offer computer science by the 2020–2021 school year.,"In Delaware, an Advanced Placement, honors, college prep, or integrated computer science course meeting the computer science and mathematics standards can count as the fourth mathematics credit for graduation.",,
FL,Florida,22523,1.6,4192,40,-18331,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,,,,NA,82793,1864751482,51950,0,20%,0.71%,14202,31%,4473,1168,78,18,5737,389,38%,29,2783,22%,793,158,11,3,18%,11419,33%,3680,1010,67,15,35%,67%,No,www.code.org/promote/FL,"Broward County Schools, Duval County Public Schools, Miami-Dade County Public Schools, One Clay County School District, School District of Clay County, School District of Palm Beach County, and Florida International University School of Computing and Information Sciences ","Broward County Public Schools, Florida International University, Orlando Science Center, Tampa Bay STEM Network, and University of North Florida & STEM2 Hub",none,39,7911,635,425,140,259,20,21 ,17 ,44,21,21,0,0,32,5,4,58,15,49,3571000,20506,13774,12671,13261,7635,16625,2688,2425609,63237,,,,,,,,,,,,,,NA,NA,NA,NA,NA,Anthony Owen,anthony.owen@code.org,,"Florida adopted K–12 computer science standards as a strand within the state science standards in 2016. Benchmarks within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity. ","SB 2500 (FY 2024), HB 5001 (FY 2023), SB 2500 (FY 2022), HB 5001 (FY 2021), and SB 2500 (FY 2020) allocated $10M annually for computer science teacher certification and professional development. SB 7070 (FY 2019) established recruitment awards for newly hired teachers who are content experts in computer science.","In Florida, teachers can obtain the K–12 certification as an initial license or an add-on endorsement through academic coursework. State funding for computer science can be used to support credentialing for teachers. ",,The Florida Department of Education has a Computer Science Program Specialist.,HB 495 (2018) required all middle and high schools to offer computer science or provide students access via the Florida Virtual School if a district is unable to provide access.,"In Florida, computer science can count as a math or science credit for graduation (HB 7071 in 2019 removed the industry certification requirement).",,
