state_code_s!,state_name_s,percent_state_i,state_plan_t,hs_offer_t,grad_requirment_t
AK,Alabama,95%,Yes,Yes,No
AL,Alaska,51%,In progress,No,No
AR,Arizona,36%,No,No,No
AZ,Arkansas,99%,Yes,Yes,Yes
CA,California,45%,Yes,No,No
CO,Colorado,54%,No,No,No
CT,Connecticut,84%,Yes,Yes,No
DC,Delaware,40%,No,Yes,No
DE,District of Columbia,45%,No,No,No
FL,Florida,40%,No,Yes,No
GA,Georgia,71%,Yes,Yes,No
HI,Hawaii,77%,Yes,Yes,No
IA,Idaho,38%,Yes,Yes,No
ID,Illinois,54%,No,Yes,No
IL,Indiana,85%,Yes,Yes,No
IN,Iowa,83%,Yes,Yes,No
KS,Kansas,36%,No,Yes,No
KY,Kentucky,79%,Yes,No,No
LA,Louisiana,33%,In progress,No,No
MA,Maine,66%,Yes,No,No
MD,Maryland,99%,Yes,Yes,No
ME,Massachusetts,83%,Yes,No,No
MI,Michigan,55%,No,No,No
MN,Minnesota,28%,In progress,No,No
MO,Mississippi,78%,Yes,Yes,No
MS,Missouri,50%,In progress,Yes,No
MT,Montana,34%,No,No,No
NC,Nebraska,50%,In progress,Yes,Yes
ND,Nevada,96%,Yes,Yes,Yes
NE,New Hampshire,81%,Yes,Yes,No
NH,New Jersey,89%,Yes,Yes,No
NJ,New Mexico,50%,Yes,No,No
NM,New York,49%,Yes,No,No
NV,North Carolina,71%,Yes,No,No
NY,North Dakota,59%,Yes,Yes,Yes
OH,Ohio,62%,Yes,No,No
OK,Oklahoma,62%,Yes,Yes,No
OR,Oregon,64%,In progress,No,No
PA,Pennsylvania,71%,No,No,No
RI,Rhode Island,86%,Yes,Yes,Yes
SC,South Carolina,94%,In progress,Yes,Yes
SD,South Dakota,42%,No,No,No
TN,Tennessee,64%,Yes,Yes,Yes
TX,Texas,54%,No,Yes,No
UT,Utah,77%,Yes,No,No
VA,Vermont,76%,No,No,No
VT,Virginia,75%,No,Yes,No
WA,Washington,47%,Yes,Yes,No
WI,West Virginia,78%,Yes,Yes,No
WV,Wisconsin,56%,No,Other,No
WY,Wyoming,63%,Yes,Yes,No
