name_s,url_s
Python in Pieces: Explore text outputs and print statements,https://pythoninpieces.com/app/pip/pip_freebie
The Mars Pioneers,https://www.thingiverse.com/thing:3084537
AI & Drawing,https://drive.google.com/drive/folders/16rhAyfcinq7w535ul4fiiK1oJO9JexOp?usp=sharing
AI4ALL: AI & Dance,https://drive.google.com/drive/folders/14wUScja5RpQAwOrxM7HgWnyrYES5-vnJ
How Convolutional Neural Networks Work,https://drive.google.com/drive/folders/1R1PD4QHFEJnhVTLNx1JVZgsMdpSGDYiv
Storyboarding and Programming with Alice and The Sims,http://www.alice.org/hourofcode/alice3.html
Animating with Alice and Garfield,http://www.alice.org/hourofcode/alice2.html
Run Marco!,https://www.allcancode.com/web/hourofcode  
Networks: Messages of Kindness,https://www.dropbox.com/scl/fi/n5m5gad0lvye4n1twik3h/2020-Educator-Hour-of-Code-Code-Jumper.docx?dl=0&rlkey=ek4flmy8x5je2dou1y02veutt
Designing Icicles With Codeblocks in Tinkercad,https://www.instructables.com/id/Designing-Icicles-With-Codeblocks-in-Tinkercad
Using Loops in Tinkercad to Design a Bursting Star,https://www.instructables.com/id/Using-Loops-in-Tinkercad-to-Design-a-Bursting-Star
Moon Base SOS with Arduino,https://roboblocky.com/curriculum/hourofcode/arduino/
Linkbot Obstacle Course,https://roboblocky.com/curriculum/hourofcode/obstaclecourse/
Robot Autonomous Vehicle,https://roboblocky.com/curriculum/hourofcode/rav/
Code the Music of Franz Liszt,http://beetik.net/rhapsody?lang=en&level=1
Creative Coding Adventures,https://bekids.com/hoc/
AI for All,https://learn.birdbraintechnologies.com/artificial-intelligence/ai-for-all/
Build Crazy Apps with Bitsbox,https://bitsbox.com/hoc2016.html
Yak Attack! Make a Card with Typed Code,https://www.dropbox.com/s/010xlwr6wwkjznf/Bitsbox_HOC2018_Yak-Attack_01.pdf?dl=0
Bitsbox Coding + Geometry,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Geometry.pdf
Bitsbox Coding + Chemistry,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Chemistry.pdf
Bitsbox Coding + Language Arts,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_LanguageArts.pdf
Bitsbox Coding + Science,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Science.pdf
Bitsbox Coding + Art,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_VisualArts.pdf
Bitsbox Coding + Math (K-2),https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Math.pdf
Bitsbox Coding + Physics,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Physics.pdf
Bitsbox Coding + Biology,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Biology.pdf
Bitsbox Coding + Music,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Music.pdf
Bitsbox Coding + Math (3-5),https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Math3-5.pdf
BusyBot!,https://app.blackbirdcode.com/intro.php?type=stage&id=5000
Stopwatch Builder,https://app.blackbirdcode.com/hoc.php?curriculum_id=11
Tetherball,https://app.blackbirdcode.com/hoc.php?curriculum_id=5
Sierpinski Triangle: Make Art with Math!,https://app.blackbirdcode.com/intro.php?type=stage&id=2000
Screen Saver,https://app.blackbirdcode.com/hoc.php?curriculum_id=4
BlocksCAD Robot,https://www.blockscad3d.com/hourofcoderobot
BlocksCAD Pizza Printer,https://www.blockscad3d.com/hourofcodepizzaprinter
BlocksCAD Snowflake,https://www.blockscad3d.com/hourofcodesnowflake
BlocksCAD Birdhouses,https://www.blockscad3d.com/hourofcodebirdhouses
Star Wars and BB-8 with Geometry and Code,https://docs.google.com/document/d/1vI1y8Hz94yEk1qG_8FxHo-dmZRjWQ1ON/edit?usp=sharing&ouid=105468947376233864179&rtpof=true&sd=true
Custom Game Consoles with Code,https://docs.google.com/document/d/1kj0Kvp-cnCJoo0q7r9BlgWpUIz50gNN5/edit?usp=sharing&ouid=105468947376233864179&rtpof=true&sd=true
Coin-Flipping Simulator,https://docs.google.com/document/d/10s-TGX_OZ0CkOFKQ9Jl4Weh9DvXPd5Fn/edit?usp=sharing&ouid=105468947376233864179&rtpof=true&sd=true
BlocksCAD Analog Clock,https://www.blockscad3d.com/hourofcodeclock
BlocksCAD Ice Cream Machine,https://www.blockscad3d.com/hourofcodeicecreammachine
BlocksCAD Scale City,https://www.blockscad3d.com/hourofcodescalecity
Building Solar Power with Loops,https://docs.google.com/document/d/1kb111GKixWXSx1mxRYJuvTRIS85nVz99/edit?usp=sharing&ouid=105468947376233864179&rtpof=true&sd=true
BlocksCAD Transformation Target Practice,https://www.blockscad3d.com/hourofcodeTTP
BlocksCAD Modeling a Virus with Code,https://www.blockscad3d.com/hourofcode
BlocksCAD Roblox Characters,https://docs.google.com/document/d/1MYHBO4v1crvWI1qJKMflrlzKB4gvIa0k/edit?usp=sharing&ouid=105468947376233864179&rtpof=true&sd=true
Don't Yeet the Yeti,https://www.blocksmithxr.com/blog/hourofcode
BluPants: Learn Coding with Real Robots,https://blupants.com/hourofcode
Image Composition - A Wintry Puzzle!,https://bootstrapworld.org/materials/fall2022/en-us/lessons/hoc-winter-parley/
