displayweight_i,displayweight_pre_i,displayweight_25_i,displayweight_middle_i,displayweight_high_i,code_s,name_s,orgname_s,url_s,longdescription_t,image_s,tags_s,teachers_notes_s,languages_supported_s,short_code_s,tags_grade_s,string_detail_grades_s,tags_teacher_experience_s,tags_student_experience_s,tags_activity_type_s,tags_subject_s,tags_platform_s,string_platforms_s,string_detail_platforms_s,tags_length_s,tags_programming_language_s,string_detail_programming_languages_s,tags_accessibility_s,string_standards_t,popularityrank_i,popularityrank_pre_i,popularityrank_25_i,popularityrank_middle_i,popularityrank_high_i
2001,1,1680,2000,1670,nasach_spacejam,NASA's Space Jam,NASA's Chandra X-ray Observatory/Smithsonian Astrophysical Observatory,https://chandra.si.edu/sound/code/,"Create a solar system that really rocks! Learn about music, astronomy, and coding in this self-guided activity (no coding experience required). Program planets to make music, creating your own musical solar system, complete with spacey melodies.",/images/tutorials/hoc2022/nasach_spacejam.png,2022-tutorial,,en,nasachspacejam,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,science,computers,All modern browsers,,1hour,blocks,Blocks,"captions,highcontrast",,15,999,25,10,18
2000,1,1656,1700,1555,hatchxr_trex,Create a 3D T-Rex Game,HatchXR,https://code.hatchxr.com/t-rex?utm_source=code.org&utm_medium=HoC2022&utm_campaign=new_activities,"Build the classic chrome's T-rex dino game in 3D, while learning about the basic of game development, motion in 3D space and learn fundamental programming concepts like loops, conditionals, variables, and keyboard events, all in less than an hour. Don't forget to share your creations with us using #hatchxr #HourOfCode",/images/tutorials/hoc2022/hatchxr_trex.png,2022-tutorial,https://kids.hatchxr.com/courses/t-rex/teacher_manual.pdf,"en,en-GB",hatchxrtrex,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,art,"computers,android,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",,1hour,blocks,Blocks,none,,2,999,3,4,5
1998,1,1660,1990,1514,hello-world,Hello World,Code.org,https://code.org/helloworld,"Learn the basics of computer science by programming in Sprite Lab. You will create and animate sprites, and make your own interactive scenes.",/images/tutorials/hoc2022/hello-world-2022.png,2021-tutorial,https://studio.code.org/s/hello-world-food-2021/lessons/1,"bg,co,da,nl,en,en-GB,et,fr,ka,de,hu,is,id,ga,ja,ko,ne,no,nn,ps,pt-PT,ro,sr,es,es-MX,tr,vi",hello,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,"la,math,science","android,computers,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",,"1hour,1hour-follow",blocks,Blocks,"tts,captions","Hello World:
1A-IC-17 - Work respectfully and responsibly with others online.
1A-AP-11 - Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.
1B-AP-10 - Create programs that include sequences, events, loops, and conditionals.
1B-AP-12 - Modify, remix or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features.
Open-Ended Projects:
1A-AP-12 - Develop plans that describe a program's sequence of events, goals, and expected outcomes.
1B-AP-10 - Create programs that include sequences, events, loops, and conditionals.
1B-AP-12 - Modify, remix or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features.
1B-AP-13 - Use an iterative process to plan the development of a program by including others' perspectives and considering user preferences.
3-LS1-1.        Develop models to describe that organisms have unique and diverse life cycles but all have in common birth, growth, reproduction, and death.
5-LS2-1 Develop a model to describe the movement of matter among plants, animals, decomposers, and the environment.
CCSS.ELA-LITERACY.RL.2.3 Describe how characters in a story respond to major events and challenges.
CCSS.ELA-LITERACY.RL.3.3 Describe characters in a story (e.g., their traits, motivations, or feelings) and explain how their actions contribute to the sequence of events
CCSS.ELA-LITERACY.RL.4.3 Describe in depth a character, setting, or event in a story or drama, drawing on specific details in the text (e.g., a character's thoughts, words, or actions).
CCSS.ELA-LITERACY.CCRA.R.2 Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
CCSS.ELA-LITERACY.RL.2.2 Recount stories, including fables and folktales from diverse cultures, and determine their central message, lesson, or moral.
CCSS.ELA-LITERACY.RL.3.2 Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text.
CCSS.ELA-LITERACY.RL.4.2 Determine a theme of a story, drama, or poem from details in the text; summarize the text.
CCSS.ELA-LITERACY.RL.5.2 Determine a theme of a story, drama, or poem from details in the text, including how characters in a story or drama respond to challenges or how the speaker in a poem reflects upon a topic; summarize the text.
",18,999,36,22,49
1999,1,1998,1998,1998,dance-ai-2023,Dance Party: AI Edition,Code.org,https://studio.code.org/s/dance-ai-2023/lessons/1/levels/1,Learn about artificial intelligence (AI) concepts to create your own virtual dance party showcasing today's top artists. It's time to strut your stuff!,/images/tutorials/hoc2023/danceparty_ai.png,2023-tutorial,http://studio.code.org/s/dance-ai-2023/lessons/1/,"ar,zh-TW,cs,da,nl,en,en-GB,fi,fr,de,el,hi,hu,id,it,ja,ko,ms,pl,pt-PT,pt-BR,ro,ru,es,es-MX,sv,fil-PH,th,tr,uk,ur-PK,vi",dancepartyai,"all,2-5,6-8,9+",Grades 3+,beginner,beginner,online-tutorial,"cs-only,ai","computers,no-computers,no-internet,android,ios","All modern browsers, Android tablet, iPad",,"1hour,1hour-follow",blocks,Blocks,captions,,1,999,1,1,3
1997,1,1997,1997,1,tynker_balance,Balancing Act,Tynker,https://www.tynker.com/hour-of-code/balancing-act,Create an interactive game using Tynker's Physics and AI pose tracking libraries. Players balance an object by moving their face on camera!,/images/tutorials/hoc2023/tynker_balance.png,2023-tutorial,https://www.tynker.com/hour-of-code/balancing-act-guide.pdf,en,tynkerbalance,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,"cs-only,ai",computers,All modern browsers,do-not-show,1hour,blocks,Blocks,none,"CCSS-ELA: RF.3.4.A, RF.4.4.A, RF.5.4.A, 6-8.RST.3, 6-8.RST.4, 6-8.RST.7
CCSS-Math: MP.1
CSTA: 1B-AP-11, 1B-AP-12, 1B-AP-15, 2-AP-13, 2-AP-17
CS CA: 3-5.AP.13, 3-5.AP.17, 6-8.AP.13, 6-8.AP.15
ISTE: 1.1.c, 1.1.d, 1.4.d, 1.5.c, 1.5.d, 1.6.b",5,999,5,5,999
1996,1,1,1850,2000,mindmakers_maps,Maps,Mind Makers,https://mindmakers.cc/hourofcode/maps.html,"In this universe, maps of different types serve as a backdrop for fun challenges with autonomous vehicles that obey your programs. To win, you will have to interpret each map and program not only the movements, but adapt to the unexpected using sensors for obstacles and natural events such as weather, temperature, and the passage of time. Have a good trip!",/images/tutorials/hoc2022/mindmakers_maps.png,2022-tutorial,,"en,pt-BR,es",mindmakersmaps,"all,9+",Grades 9+,beginner,beginner,online-tutorial,history,computers,All modern browsers,,1hour,blocks,Blocks,"tts,captions,highcontrast",CSTA,24,999,999,999,1
1995,1672,1672,1672,1,rodo_codehr,Rodocodo: Code Hour,Rodocodo,https://www.rodocodo.com/hour-of-code/rodocodo-code-hour/,"Rodocodo: Code Hour is a self-guided coding game for 4-11 year olds. It teaches the fundamentals of coding such as sequencing, debugging, loops and functions. It also teaches techniques for solving problems so children become more confident, independent learners.",/images/tutorials/hoc2022/rodo_codehr.png,2022-tutorial,https://www.rodocodo.com/hour-of-code/rodocodo-code-hour/,"en,en-GB",rodocodehr,"all,pre,2-5",Pre-reader - Grade 5,beginner,beginner,online-tutorial,math,"computers,android,ios","All modern browsers, Android tablet, iPad, Android phone, iPhone",,1hour,blocks,Blocks,none,,13,2,10,999,999
1994,1600,1,1,1,codemonkey_jr,CodeMonkey Jr.: Pre-coding for Preschoolers,CodeMonkey Studios,https://www.codemonkey.com/hour-of-code/codemonkey-jr/,"In a world filled with captivating creatures and bright colors, 4-6 year olds will join a monkey on a mission to collect bananas and unlock treasure chests. All the while, they will explore and learn the basics of code as they use blocks to program a monkey's journey through the world.",/images/tutorials/hoc2019/codemonkey_jr.png,2019-tutorial,https://www.playcodemonkey.com/hour-of-code/codemonkey-jr/teacher-notes,en,codemonkeyjr,"all,pre",Pre-reader,beginner,beginner,online-tutorial,cs-only,"computers,android,ios","All modern browsers, Android tablet, iPad, Android phone, iPhone",,1hour,blocks,Blocks,none,,16,3,999,999,999
1993,1993,1993,1,1,"In this MyQ activity, you will solve visual fun challenges to help our cute dog find its bones, while learning the concepts of cause and effect and user interactions.",MyQ Pixel - Cause and effect (formerly Plethora),MyQ (Formerly Plethora),https://www.iamplethora.com/hour-of-code/,"In this MyQ activity, you will solve visual fun challenges to help our cute dog find its bones, while leraning the concepts of cause and effect and user interactions..",/images/tutorials/hoc2023/myq_pixel.png,2023-tutorial,https://drive.google.com/file/d/1f05Y8MAINxfc0MzjyTFCgd1lM9j-RWss/view,"ar,zh-CN,en,fr,he,pt-BR",myqpixel,"all,pre,2-5",Pre-reader - Grade 5,beginner,beginner,online-tutorial,cs-only,"android,computers,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",do-not-show,1hour,other,Language independent,highcontrast,"CSTA, CS4All, NGSS",23,5,18,999,999
1992,1,1704,1980,1990,hatchxr_space,Code a 3D Space Invaders Game,HatchXR,https://code.hatchxr.com/space-invader?utm_source=code.org&utm_medium=HoC2022&utm_campaign=new_activities,"Code the classic space invaders game in 3D, while learning about the basic of game development, motion in 3D space and learn fundamental programming concepts like loops, conditionals, variables, and keyboard events, all in less than an hour. Don't forget to share your creations with us using #hatchxr #HourOfCode",/images/tutorials/hoc2022/hatchxr_space.png,2022-tutorial,https://kids.hatchxr.com/courses/space-invader/teacher_manual.pdf,"en,en-GB",hatchxrspace,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,art,"computers,android,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",,1hour,blocks,Blocks,none,,10,999,9,6,2
