id_s!,mainConcept_s*,name_t,age_s,lessonURL_t,lessonPlan_t,lessonVid_t,teacherVid_t,sampleTeachingVid_t,objectives_t,overview_t,additional_t,split_s,part1_s,part2_s,courseNum_s,part3_s,lessonNum_s,part4_s,part5_s,courseLesson_s,answers_t,thumbnail_t
crowd,Digital Citizenship,Crowdsourcing,8+,https://curriculum.code.org/csf-19/coursef/18/,https://curriculum.code.org/csf-19/coursef/18/,https://youtu.be/IqZMnfxqEfY,https://www.youtube.com/watch?v=UXCaokAHN1U,," - Identify a large task that needs to be done.
 - Rearrange a large task into several smaller tasks.
 - Build a complete solution from several smaller solutions.",This lesson will show students how helpful teamwork can be.,,https:,curriculum.code.org,csf-19,coursef,18,,,,,,
digFootprint,Digital Citizenship,Your Digital Footprint,6+,https://curriculum.code.org/csf-19/courseb/1/,https://curriculum.code.org/csf-19/courseb/1/,https://youtu.be/rgbZAWnOWOo,https://www.youtube.com/watch?v=qjusxfefJdM,," - Understand that being safe when they visit websites is similar to staying safe in real life.
 - Learn to recognize websites that are safe for them to visit.
 - Recognize if they should ask an adult they trust before they visit a particular website.
 - Explore what information is appropriate to be put online.",Students will learn that the information they put online leaves a digital footprint or “trail.”  [Common Sense Education],"<a href=""https://code.org/curriculum/course2/18/followthedigitaltrail.pdf"">Common Sense Education Teacher Prep Guide</a>",https:,curriculum.code.org,csf-19,courseb,1,,,,,"<a href=""https://www.code.org/curriculum/course2/18/Key-followthedigitaltrail.pdf"" target=""_new"">Assessment Answer Key</a> ",
goingPlaces,Digital Citizenship,Going Places Safely,6+,https://curriculum.code.org/csf-19/coursea/1/,https://curriculum.code.org/csf-19/coursea/1/,https://youtu.be/vUO7t92k4Xg,https://www.youtube.com/watch?v=AG23gWMEB98,," - Understand that being safe when they visit websites is similar to staying safe in real life
 - Learn to recognize websites that are safe for them to visit.
 - Recognize the kind of information that is private and understand that it should never be shared online.","Students find out that they can go exciting places online, but they need to follow rules to remain safe. [Common Sense Education]","<a href=""https://www.commonsensemedia.org/educators/lesson/going-places-safely-k-2"">Common Sense Education Teacher Prep Guide</a>",https:,curriculum.code.org,csf-19,coursea,1,,,,,"<a href=""https://www.code.org/curriculum/course1/17/Key-Assessment17-KeepItPrivate.pdf"" target=""_new"">Assessment Answer Key</a> ",
screenOutTheMean,Digital Citizenship,Screen Out The Mean,7+,https://curriculum.code.org/csf-19/coursec/1/,https://curriculum.code.org/csf-19/coursec/1/,,,," - Analyze online behaviors that could be considered cyberbullying.
 - Explain how to deal with a cyberbullying situation.
 - Recognize the importance of engaging a trusted adult if the student experienced cyberbullying.","This helps children recognize that it is essential to tell a trusted adult if something online makes them feel angry, sad, or scared.  [Common Sense Education]","<a href=""https://drive.google.com/a/code.org/file/d/0B-uvt08wYSQqWnhrYXd5TF80VHM/view?usp=sharing"">Online Safety Poster</a>",,,,coursec,,14,,,,,
digCitizen,Digital Citizenship,Digital Citizenship,8+,https://curriculum.code.org/csf-19/coursed/17/,https://curriculum.code.org/csf-19/coursed/17/,https://www.youtube.com/watch?v=S7A2n1c3UiA,https://www.youtube.com/watch?v=fIlqt3P8Nsg,," - Compare and contrast their responsibilities to their online and offline communities.
 - Understand what type of information can put them at risk for identity theft and other scams.
 - Reflect on the characteristics that make someone an upstanding citizen.
 - Devise resolutions to digital dilemmas.",Some information is not safe to share online. This lesson will help you learn the difference between safe and private information.,,https:,curriculum.code.org,csf-19,coursed,17,,,,,"<a href=""https://www.code.org/curriculum/course3/20/Key-Assessment20-DigitalCitizenship.pdf"" target=""_new"">Assessment Answer Key</a> ",
,Digital Citizenship,Powerful Passwords,7+,https://curriculum.code.org/csf-19/coursec/2/,https://curriculum.code.org/csf-19/coursec/2/,,,,,"Students learn password tips, test their existing passwords with an interactive game, and create new passwords using guidelines for powerful passwords.",,,,,,,,,,,,
powerOfWords,Digital Citizenship,Power of Words,10+,https://curriculum.code.org/csf-19/coursef/17/,https://curriculum.code.org/csf-19/coursef/17/,https://www.youtube.com/watch?v=8rOnMl26dR8,,," - Empathize with those who have received mean and hurtful messages.
 - Judge what it means to cross the line from harmless to harmful communication online.
 - Generate solutions for dealing with cyberbullying.",Students explore ways to handle cyberbullying and how to respond in the face of upsetting language online.,"<a href=""https://d2e111jq13me73.cloudfront.net/sites/default/files/3-5-unit1-thepowerofwords.pdf"">Common Sense Education Teacher Prep Guide</a>",,,,coursef,,3,,,,,
privatePersonalInfo,Digital Citizenship,Private & Personal Information,9+,https://curriculum.code.org/csf-19/coursee/8/,https://curriculum.code.org/csf-19/coursee/8/,,,," - Learn about the benefits and risks of sharing information online.
 - Understand what type of information can put them at risk for identity theft and other scams.",This lesson is about the difference between information that is safe to share online and information that is not.,"<a href=""https://d2e111jq13me73.cloudfront.net/sites/default/files/3-5-unit1-privateandpersonalinformation.pdf"">Common Sense Education Teacher Prep Guide</a></li>",,,,coursee,,4,,,,,
,Digital Citizenship,Digital Sharing,9+,https://curriculum.code.org/csf-19/coursef/19/,https://curriculum.code.org/csf-19/coursef/19/,https://www.youtube.com/watch?v=6RFY5YnA8iY,,,,Students will learn the proper way to handle the use of content that is not their own. ,,,,,,,,,,,,
,Impacts of Computing,The Right App,6+,https://curriculum.code.org/csf-19/courseb/10/,https://curriculum.code.org/csf-19/courseb/10/,,,,,Students exercise empathy and creativity to sketch their own smartphone app that addresses the needs of an imaginary user.,,,,,,,,,,,,
