code_s!,city_s*,state_code_s*,latitude_f,longitude_f
00705,AIBONITO,PR,18.14,-66.26
00610,ANASCO,PR,18.28,-67.14
00611,ANGELES,PR,18.28,-66.79
00612,ARECIBO,PR,18.45,-66.73
00601,ADJUNTAS,PR,18.16,-66.72
00631,CASTANER,PR,18.19,-66.82
00602,AGUADA,PR,18.38,-67.18
00603,AGUADILLA,PR,18.43,-67.15
00604,AGUADILLA,PR,18.43,-67.15
00605,AGUADILLA,PR,18.43,-67.15
00703,AGUAS BUENAS,PR,18.25,-66.10
00704,AGUIRRE,PR,17.96,-66.22
07675,WESTWOOD,NJ,40.98,-74.03
07677,WOODCLIFF LAKE,NJ,41.02,-74.05
07885,WHARTON,NJ,40.89,-74.58
07981,WHIPPANY,NJ,40.82,-74.41
07999,WHIPPANY,NJ,40.82,-74.41
08888,WHITEHOUSE,NJ,40.62,-74.76
08889,WHITEHOUSE STATION,NJ,40.60,-74.76
07095,WOODBRIDGE,NJ,40.55,-74.28
07481,WYCKOFF,NJ,40.99,-74.16
10451,BRONX,NY,40.84,-73.87
10452,BRONX,NY,40.84,-73.87
10453,BRONX,NY,40.84,-73.87
10454,BRONX,NY,40.84,-73.87
10455,BRONX,NY,40.84,-73.87
10456,BRONX,NY,40.84,-73.87
10457,BRONX,NY,40.84,-73.87
10458,BRONX,NY,40.84,-73.87
10459,BRONX,NY,40.84,-73.87
10460,BRONX,NY,40.84,-73.87
10461,BRONX,NY,40.84,-73.87
10462,BRONX,NY,40.84,-73.87
10463,BRONX,NY,40.84,-73.87
10464,BRONX,NY,40.84,-73.87
10465,BRONX,NY,40.84,-73.87
10466,BRONX,NY,40.84,-73.87
10467,BRONX,NY,40.84,-73.87
10468,BRONX,NY,40.84,-73.87
10469,BRONX,NY,40.84,-73.87
10470,BRONX,NY,40.84,-73.87
10471,BRONX,NY,40.84,-73.87
10472,BRONX,NY,40.84,-73.87
10473,BRONX,NY,40.84,-73.87
10474,BRONX,NY,40.84,-73.87
10475,BRONX,NY,40.84,-73.87
10499,BRONX,NY,40.84,-73.87
