Percentage of High Schools Offering Foundational Computer Science Courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percentage of schools offering CS by school year,,,,,,,,,"Percentage of schools in each category that offer CS 
(for the most recent school year reported)",,,,,,,,"Percent of students who attend a school that offers CS (out of all students in the state identified as that race/ethnicity)
(for the most recent school year reported)",,,,,,,,,Number of schools in each category that offer CS ,,,,,,,,,,,,,,
,2016–17,2017–18,2018–19,2019–20,2020–21,2021-22,Primary data source,Total number of schools with high school grades,Number of schools offering CS in most recent data,City,Suburban,Rural/Town,Less than 24% students qualify for FRL,Between 25–49% students qualify for FRL,Between 50–74% students quality for FRL,Greater than 75% students qualify for FRL,,Overall,Black/African American,Hispanic/Latino/Latina/Latinx*,Native American/Alaskan,Native Hawaiian/Pacific Islander,White,Asian,Two or more races,,City,Suburban,Rural/Town,Less than 24% students qualify for FRL,Between 25–49% students qualify for FRL,Between 50-74% students quality for FRL,Greater than 75% students qualify for FRL,Number schools without FRL category,Black/African American,Hispanic/Latino/Latina/Latinx,Native American/Alaskan,Native Hawaiian/Pacific Islander,White,Asian,Two or More Races
U.S.*,-,35%,45%,47%,51%,53%,mixed,"26,160","13,883",47%,50%,60%,57%,61%,51%,39%,,77%,72%,74%,60%,81%,79%,87%,78%,,"3,175","6,608","4,029","3,462","4,809","3,270","2,149",193,"1,839,752","3,488,754","112,800","54,340","6,454,174","787,827","519,598"
AK,-,-,19%,32%,42%,51%,School catalogs,273,138,55%,50%,100%,51%,74%,48%,46%,,71%,72%,76%,58%,77%,77%,80%,76%,,12,120,6,39,23,15,61,0,"1,005","3,047","11,611","1,132","26,694","2,223","5,493"
AL,-,39%,49%,57%,82%,85%,State Education Agency,381,325,90%,84%,92%,85%,88%,85%,82%,,87%,86%,92%,92%,89%,86%,92%,87%,,43,232,48,28,99,138,60,0,"68,122","20,343","3,283",280,"134,909","3,464","4,643"
AR,-,64%,78%,89%,92%,92%,State Education Agency,305,280,89%,93%,95%,100%,91%,94%,88%,,90%,88%,91%,90%,98%,91%,87%,90%,,39,212,21,9,67,120,84,0,"29,429","22,481",967,"1,691","99,520","2,615","4,923"
AZ,-,-,-,38%,36%,-,State Education Agency,602,214,39%,27%,51%,35%,50%,43%,20%,,65%,64%,64%,39%,63%,69%,77%,62%,,111,54,49,93,48,54,19,0,"14,775","117,245","7,775","1,071","114,730","11,852","8,581"
CA*,45%,47%,40%,-,-,-,"State Education Agency in partnership with the Kapor Center, Sacramento County Office of Education, and school catalogs","2,654","1,069",42%,29%,47%,51%,57%,39%,33%,,75%,71%,71%,61%,76%,78%,88%,77%,,423,193,453,155,285,307,319,3,"82,265","840,710","7,038","7,373","400,791","221,524","74,813"
CO,-,38%,-,-,57%,-,State Education Agency,535,306,59%,56%,61%,66%,68%,39%,48%,,77%,79%,70%,74%,79%,81%,88%,82%,,101,130,75,109,116,49,32,0,"11,053","77,281","1,630",696,"143,126","9,814","11,280"
CT,-,-,67%,82%,77%,-,State Education Agency,207,160,65%,79%,85%,95%,81%,69%,40%,,85%,76%,78%,78%,82%,91%,96%,87%,,41,34,85,61,43,48,8,0,"18,618","34,208",371,143,"78,457","7,660","4,738"
DC,-,-,20%,41%,37%,45%,School catalogs,42,19,46%,0%,0%,45%,0%,0%,0%,,57%,51%,67%,51%,40%,76%,72%,62%,,19,0,0,19,0,0,0,0,"7,197","2,896",18,4,"1,447",236,284
DE,-,-,65%,68%,55%,40%,State Education Agency,58,23,0%,63%,41%,40%,0%,0%,0%,,60%,53%,51%,50%,54%,67%,68%,58%,,0,12,11,23,0,0,0,0,"7,837","4,585",135,37,"15,302","1,771","1,132"
FL,-,23%,30%,33%,38%,40%,State Education Agency,"1,255",500,39%,34%,45%,32%,56%,49%,30%,,75%,71%,76%,69%,80%,76%,84%,74%,,137,116,243,85,193,153,61,8,"149,022","252,878","2,030","1,315","287,976","24,042","26,008"
GA,-,50%,52%,55%,61%,66%,State Education Agency,513,338,63%,59%,77%,75%,84%,67%,51%,,85%,83%,86%,86%,82%,86%,95%,88%,,57,149,131,50,97,92,99,0,"167,619","76,844",891,504,"188,141","23,364","17,400"
